data_movimento,codigo_filial,codigo_produto,cc_venda_bruta
2020-05-05,001,1020,369.73
2020-05-19,001,1021,226.02
2020-05-15,001,1010,329.98
2020-05-04,001,1014,203.36
2020-05-08,001,1000,211.61
2020-05-27,001,1021,169.74
2020-05-12,001,1007,152.3
2020-05-27,001,1020,300.89
2020-05-08,001,1016,41.36
2020-05-04,001,1018,271.11
2020-05-05,001,1005,282.02
2020-05-05,001,1023,58.36
2020-05-09,001,1020,31.42
2020-05-01,001,1003,230.84
2020-05-02,001,1012,124.16
2020-05-13,001,1024,247.03
2020-05-28,001,1006,87.07
2020-05-06,001,1003,128.53
2020-05-18,001,1014,162.03
2020-05-12,001,1021,40.92
2020-05-26,001,1010,347.96
2020-06-08,001,1021,317.75
2020-06-19,001,1020,237.44
2020-06-25,001,1010,216.67
2020-06-26,001,1014,154.55
2020-06-08,001,1024,63.77
2020-06-05,001,1008,90.32
2020-06-16,001,1002,120.99
2020-06-06,001,1011,137.86
2020-06-21,001,1015,166.17
2020-06-14,001,1013,319.75
2020-06-07,001,1020,206.15
2020-06-03,001,1011,232.0
2020-06-18,001,1013,260.48
2020-06-29,001,1011,53.86
2020-06-18,001,1000,282.63
2020-06-29,001,1017,296.11
2020-06-14,001,1021,334.06
2020-06-03,001,1017,180.11
2020-06-16,001,1007,76.83
2020-06-01,001,1015,175.0
2020-06-22,001,1000,283.97
2020-06-08,001,1007,278.96
2020-06-24,001,1012,49.89
2020-06-22,001,1011,295.47
2020-06-22,001,1008,351.41
2020-06-20,001,1015,129.04
2020-06-10,001,1013,78.71
2020-06-17,001,1011,159.18
2020-06-06,001,1000,367.72
2020-06-19,001,1004,171.38
2020-06-01,001,1006,284.45
2020-06-09,001,1010,195.76
2020-06-15,001,1018,198.84
2020-06-03,001,1014,269.58
2020-06-30,001,1005,152.4
2020-06-16,001,1002,235.43
2020-07-31,001,1004,127.7
2020-07-28,001,1006,375.01
2020-07-04,001,1024,55.44
2020-07-21,001,1014,84.12
2020-07-01,001,1006,97.66
2020-07-25,001,1024,23.82
2020-07-21,001,1018,246.78
2020-07-02,001,1005,248.22
2020-07-08,001,1010,363.54
2020-07-25,001,1000,243.04
2020-07-22,001,1004,59.48
2020-07-07,001,1003,260.34
2020-07-24,001,1000,230.93
2020-07-05,001,1024,303.97
2020-07-09,001,1023,37.49
2020-07-19,001,1009,339.52
2020-07-02,001,1012,42.16
2020-07-06,001,1011,190.37
2020-07-31,001,1014,179.35
2020-07-20,001,1013,122.06
2020-07-30,001,1013,276.07
2020-07-22,001,1017,180.39
2020-07-05,001,1011,49.06
2020-07-15,001,1006,116.05
2020-07-09,001,1010,221.71
2020-07-19,001,1022,93.57
2020-07-13,001,1005,28.69
2020-07-10,001,1013,95.73
2020-07-15,001,1019,267.28
2020-07-18,001,1004,137.52
2020-07-21,001,1003,170.03
2020-07-18,001,1018,206.96
2020-07-12,001,1014,326.07
2020-07-28,001,1007,263.92
2020-07-17,001,1019,154.75
2020-07-26,001,1015,245.98
2020-07-03,001,1003,112.42
2020-07-09,001,1008,214.33
2020-07-10,001,1015,288.5
2020-07-26,001,1021,185.28
2020-07-05,001,1009,405.11
2020-07-12,001,1005,130.71
2020-07-24,001,1012,155.6
2020-07-22,001,1008,88.39
2020-07-01,001,1008,82.91
2020-07-06,001,1015,231.12
2020-07-31,001,1020,63.61
2020-07-31,001,1023,48.9
2020-07-13,001,1012,150.15
2020-07-14,001,1001,262.48
2020-07-06,001,1022,114.81
2020-07-08,001,1016,152.19
2020-07-19,001,1012,316.19
2020-08-18,001,1021,267.14
2020-08-20,001,1004,142.41
2020-08-28,001,1022,297.9
2020-08-17,001,1024,303.09
2020-08-14,001,1001,243.91
2020-08-12,001,1005,186.72
2020-08-17,001,1020,176.06
2020-08-20,001,1013,72.0
2020-08-10,001,1009,30.33
2020-08-22,001,1022,125.18
2020-08-18,001,1001,119.55
2020-08-17,001,1023,362.57
2020-08-28,001,1010,316.14
2020-08-16,001,1007,378.02
2020-08-15,001,1019,60.94
2020-08-26,001,1006,215.04
2020-08-13,001,1018,317.46
2020-08-26,001,1006,251.91
2020-08-01,001,1010,34.76
2020-08-30,001,1012,342.3
2020-08-11,001,1007,173.47
2020-08-21,001,1011,227.92
2020-08-09,001,1008,238.47
2020-08-02,001,1022,28.59
2020-08-29,001,1019,284.15
2020-08-01,001,1000,296.74
2020-08-12,001,1021,100.71
2020-08-08,001,1018,19.22
2020-08-09,001,1001,26.42
2020-08-22,001,1012,216.77
2020-08-13,001,1016,152.92
2020-08-28,001,1016,206.14
2020-08-04,001,1017,274.82
2020-08-22,001,1012,143.43
2020-08-14,001,1008,322.94
2020-08-25,001,1004,65.25
2020-08-06,001,1018,261.57
2020-08-02,001,1021,323.28
2020-08-11,001,1000,115.58
2020-08-11,001,1001,23.07
2020-08-30,001,1024,128.18
2020-08-28,001,1024,273.45
2020-08-31,001,1011,283.91
2020-08-18,001,1018,325.39
2020-09-23,001,1001,217.16
2020-09-18,001,1003,108.15
2020-09-08,001,1017,115.08
2020-09-27,001,1018,272.82
2020-09-24,001,1000,374.69
2020-09-15,001,1009,356.16
2020-09-25,001,1008,172.85
2020-09-06,001,1004,338.79
2020-09-20,001,1020,35.03
2020-09-13,001,1005,28.15
2020-09-04,001,1015,170.88
2020-09-02,001,1016,29.26
2020-09-10,001,1016,40.84
2020-09-12,001,1014,113.59
2020-09-07,001,1002,15.34
2020-09-13,001,1017,18.07
2020-09-26,001,1008,125.44
2020-09-15,001,1024,270.25
2020-09-24,001,1011,97.89
2020-09-10,001,1023,87.57
2020-09-21,001,1009,33.31
2020-09-28,001,1006,55.62
2020-09-22,001,1021,261.09
2020-09-05,001,1002,23.69
2020-09-06,001,1018,101.13
2020-09-19,001,1017,241.89
2020-09-18,001,1009,194.33
2020-09-26,001,1016,273.83
2020-09-24,001,1012,176.59
2020-09-28,001,1016,155.85
2020-09-30,001,1024,296.33
2020-09-10,001,1024,144.67
2020-09-07,001,1007,25.88
2020-09-03,001,1014,79.51
2020-09-01,001,1004,245.23
2020-09-22,001,1013,183.84
2020-09-27,001,1016,216.75
2020-09-05,001,1001,279.96
2020-09-16,001,1002,361.53
2020-09-01,001,1013,365.99
2020-09-04,001,1010,205.07
2020-09-17,001,1019,198.66
2020-09-02,001,1001,239.95
2020-09-20,001,1023,109.14
2020-09-18,001,1013,226.59
2020-09-08,001,1018,266.25
2020-09-12,001,1014,323.66
2020-09-18,001,1006,152.69
2020-09-13,001,1007,184.51
2020-09-24,001,1023,301.87
2020-09-03,001,1016,80.02
2020-09-21,001,1023,96.44
2020-09-06,001,1007,87.47
2020-09-28,001,1004,296.26
2020-09-23,001,1020,290.19
2020-09-16,001,1011,175.26
2020-09-24,001,1001,343.66
2020-09-28,001,1021,94.33
2020-09-03,001,1019,328.1
2020-09-01,001,1007,301.15
2020-09-22,001,1017,228.33
2020-09-10,001,1013,256.94
2020-09-13,001,1020,79.29
2020-09-15,001,1005,53.16
2020-09-12,001,1014,154.98
2020-09-21,001,1001,55.82
2020-09-08,001,1010,97.42
2020-09-27,001,1022,189.73
2020-09-06,001,1005,32.46
2020-09-08,001,1010,235.38
2020-09-29,001,1015,93.64
2020-09-04,001,1007,360.7
2020-09-23,001,1017,408.82
2020-09-30,001,1001,58.7
2020-09-03,001,1015,56.95
2020-09-17,001,1005,172.33
2020-09-19,001,1016,81.23
2020-09-08,001,1021,241.94
2020-09-18,001,1018,168.89
2020-09-12,001,1000,102.08
2020-09-24,001,1020,266.55
2020-09-04,001,1012,262.12
2020-09-08,001,1017,150.91
2020-09-13,001,1004,347.58
2020-09-22,001,1022,175.48
2020-09-11,001,1016,84.11
2020-09-08,001,1022,279.51
2020-10-09,001,1000,197.6
2020-10-26,001,1008,52.43
2020-10-06,001,1018,211.2
2020-10-05,001,1006,179.26
2020-10-06,001,1020,23.44
2020-10-05,001,1011,130.53
2020-10-03,001,1021,153.44
2020-10-21,001,1015,392.52
2020-10-26,001,1010,150.14
2020-10-26,001,1022,108.05
2020-10-29,001,1024,297.17
2020-10-02,001,1014,250.39
2020-10-07,001,1020,173.19
2020-10-24,001,1012,319.13
2020-10-28,001,1003,145.49
2020-10-14,001,1020,219.23
2020-10-05,001,1008,135.57
2020-10-23,001,1011,247.79
2020-10-03,001,1002,314.21
2020-10-18,001,1014,278.17
2020-10-19,001,1000,194.33
2020-10-24,001,1006,353.65
2020-10-24,001,1007,140.01
2020-10-23,001,1022,254.31
2020-10-28,001,1015,259.22
2020-10-23,001,1001,167.1
2020-10-13,001,1024,150.39
2020-10-09,001,1007,51.51
2020-10-05,001,1000,193.31
2020-10-28,001,1024,93.07
2020-10-30,001,1017,106.81
2020-10-06,001,1007,93.77
2020-10-09,001,1003,283.15
2020-10-23,001,1024,214.89
2020-10-24,001,1012,199.9
2020-10-10,001,1000,148.54
2020-10-17,001,1004,199.74
2020-10-17,001,1024,323.91
2020-10-12,001,1024,377.39
2020-10-11,001,1011,198.88
2020-10-14,001,1023,116.09
2020-10-13,001,1018,371.39
2020-10-30,001,1012,294.96
2020-10-08,001,1023,175.21
2020-10-22,001,1020,213.57
2020-10-10,001,1010,205.86
2020-10-09,001,1021,332.39
2020-10-18,001,1017,18.79
2020-10-15,001,1024,255.08
2020-10-22,001,1002,53.82
2020-10-14,001,1021,70.65
2020-10-01,001,1010,263.75
2020-10-09,001,1019,34.97
2020-10-19,001,1018,124.74
2020-10-07,001,1012,62.32
2020-10-18,001,1002,162.54
2020-10-08,001,1020,262.14
2020-10-01,001,1023,354.12
2020-10-04,001,1019,310.75
2020-10-10,001,1021,166.66
2020-10-07,001,1019,228.18
2020-10-11,001,1005,333.88
2020-10-30,001,1017,137.58
2020-10-23,001,1020,210.47
2020-10-09,001,1006,261.22
2020-10-11,001,1021,162.19
2020-10-16,001,1005,17.32
2020-10-27,001,1002,31.03
2020-10-24,001,1004,63.36
2020-10-03,001,1002,297.41
2020-10-15,001,1002,46.57
2020-10-17,001,1022,114.16
2020-10-07,001,1016,264.7
2020-10-10,001,1014,80.29
2020-10-21,001,1005,47.86
2020-10-11,001,1004,86.09
2020-10-02,001,1000,298.17
2020-10-31,001,1002,160.47
2020-10-06,001,1010,395.12
2020-10-15,001,1013,97.14
2020-10-30,001,1015,270.29
2020-11-17,001,1016,279.28
2020-11-25,001,1000,293.7
2020-11-02,001,1005,234.71
2020-11-08,001,1015,264.41
2020-11-25,001,1009,240.16
2020-11-09,001,1005,272.08
2020-11-17,001,1022,138.46
2020-11-01,001,1024,117.22
2020-11-20,001,1020,280.27
2020-11-15,001,1005,125.05
2020-11-02,001,1001,292.73
2020-11-06,001,1006,113.58
2020-11-03,001,1020,96.75
2020-11-06,001,1000,153.42
2020-11-10,001,1007,149.64
2020-11-11,001,1011,497.81
2020-11-07,001,1008,61.13
2020-11-03,001,1001,89.93
2020-11-19,001,1022,397.96
2020-11-23,001,1002,41.98
2020-11-30,001,1012,465.91
2020-11-10,001,1003,119.93
2020-11-25,001,1012,293.08
2020-11-15,001,1007,210.11
2020-11-12,001,1006,148.01
2020-11-04,001,1019,429.59
2020-11-04,001,1019,202.55
2020-11-11,001,1014,518.68
2020-11-19,001,1017,169.03
2020-11-12,001,1006,246.99
2020-11-18,001,1012,158.14
2020-11-17,001,1001,57.6
2020-11-12,001,1015,176.64
2020-11-22,001,1009,329.44
2020-11-17,001,1004,459.71
2020-11-25,001,1021,55.96
2020-11-21,001,1001,454.77
2020-11-12,001,1023,44.13
2020-11-01,001,1017,39.22
2020-11-17,001,1021,244.47
2020-11-26,001,1012,353.23
2020-11-01,001,1001,197.18
2020-11-27,001,1017,106.84
2020-11-09,001,1014,315.46
2020-11-15,001,1013,358.8
2020-11-29,001,1000,399.09
2020-11-18,001,1016,387.02
2020-11-04,001,1007,487.17
2020-11-17,001,1007,184.5
2020-11-13,001,1003,434.22
2020-11-04,001,1010,185.0
2020-11-09,001,1006,254.96
2020-11-01,001,1000,104.09
2020-11-21,001,1004,247.32
2020-11-12,001,1010,229.87
2020-11-14,001,1011,102.06
2020-11-05,001,1006,434.26
2020-11-03,001,1008,385.89
2020-11-25,001,1021,439.55
2020-11-20,001,1009,177.83
2020-11-13,001,1006,558.94
2020-11-17,001,1007,315.24
2020-11-02,001,1004,51.82
2020-11-28,001,1016,63.28
2020-11-26,001,1016,95.39
2020-11-26,001,1003,268.42
2020-11-28,001,1000,62.05
2020-11-14,001,1011,99.9
2020-11-10,001,1019,76.07
2020-11-29,001,1019,474.32
2020-11-22,001,1002,382.54
2020-11-26,001,1006,274.8
2020-11-24,001,1012,500.36
2020-12-24,001,1009,219.35
2020-12-09,001,1010,167.6
2020-12-23,001,1011,367.72
2020-12-07,001,1007,244.34
2020-12-10,001,1005,138.88
2020-12-26,001,1005,301.36
2020-12-28,001,1017,106.93
2020-12-12,001,1022,45.97
2020-12-05,001,1018,442.16
2020-12-21,001,1013,128.7
2020-12-27,001,1012,488.17
2020-12-04,001,1022,57.56
2020-12-13,001,1000,428.75
2020-12-11,001,1000,233.78
2020-12-20,001,1022,340.67
2020-12-06,001,1015,138.25
2020-12-28,001,1011,390.86
2020-12-26,001,1011,250.36
2020-12-01,001,1018,264.61
2020-12-04,001,1015,232.03
2020-12-31,001,1024,259.73
2020-12-23,001,1022,55.7
2020-12-01,001,1015,424.4
2020-12-23,001,1003,418.35
2020-12-24,001,1005,229.03
2020-12-06,001,1023,289.84
2020-12-14,001,1015,387.32
2020-12-22,001,1003,242.58
2020-12-12,001,1024,350.54
2020-12-17,001,1017,307.04
2020-12-12,001,1004,337.07
2020-12-07,001,1015,123.96
2020-12-04,001,1018,82.17
2020-12-13,001,1009,302.98
2020-12-23,001,1008,298.83
2020-12-24,001,1023,205.92
2020-12-13,001,1018,138.66
2020-12-22,001,1019,283.2
2020-12-14,001,1006,414.27
2020-12-04,001,1017,255.11
2020-12-09,001,1004,162.48
2020-12-08,001,1012,179.95
2020-12-29,001,1019,150.41
2020-12-12,001,1021,204.38
2020-12-27,001,1007,144.01
2020-12-02,001,1009,262.76
2020-12-01,001,1002,496.22
2020-12-14,001,1005,484.53
2020-12-12,001,1006,48.7
2020-12-19,001,1009,237.76
2020-12-14,001,1014,309.79
2020-12-31,001,1006,140.11
2020-12-03,001,1002,543.4
2020-12-04,001,1018,159.15
2020-12-24,001,1019,349.68
2020-12-14,001,1007,252.79
2020-12-07,001,1006,92.09
2020-12-20,001,1002,233.12
2020-12-01,001,1019,96.07
2020-12-07,001,1010,166.94
2020-12-24,001,1015,371.18
2020-12-14,001,1014,176.03
2020-12-18,001,1004,211.98
2020-12-22,001,1010,414.65
2020-12-18,001,1001,354.77
2020-12-21,001,1009,337.26
2020-12-28,001,1015,118.55
2020-12-23,001,1005,61.28
2020-12-11,001,1022,167.66
2020-12-06,001,1008,207.15
2020-12-23,001,1004,337.59
2020-12-05,001,1007,201.58
2020-12-08,001,1016,147.15
2020-12-03,001,1013,67.04
2020-12-05,001,1008,105.89
2020-12-08,001,1015,445.6
2020-12-17,001,1023,130.86
2020-12-04,001,1000,99.76
2020-12-16,001,1012,142.55
2020-12-20,001,1003,34.26
2020-12-25,001,1007,333.58
2020-12-13,001,1006,464.78
2021-01-08,001,1002,303.11
2021-01-02,001,1024,247.1
2021-01-20,001,1023,386.38
2021-01-25,001,1008,335.6
2021-01-14,001,1018,342.99
2021-01-24,001,1019,54.52
2021-01-09,001,1018,205.87
2021-01-16,001,1003,349.44
2021-01-13,001,1009,301.95
2021-01-08,001,1023,96.32
2021-01-17,001,1003,322.88
2021-01-30,001,1021,152.54
2021-01-31,001,1016,310.91
2021-01-15,001,1012,302.9
2021-01-13,001,1002,185.39
2021-01-25,001,1008,140.1
2021-01-28,001,1007,250.31
2021-01-11,001,1014,24.45
2021-01-26,001,1004,219.7
2021-01-23,001,1023,164.12
2021-01-02,001,1021,188.97
2021-01-01,001,1009,258.81
2021-01-02,001,1022,329.31
2021-01-27,001,1019,231.88
2021-01-07,001,1018,82.08
2021-01-08,001,1018,287.19
2021-01-30,001,1015,206.7
2021-01-24,001,1023,218.01
2021-01-14,001,1017,290.18
2021-01-28,001,1013,82.24
2021-01-18,001,1013,324.73
2021-01-28,001,1022,78.96
2021-01-06,001,1014,52.94
2021-01-04,001,1020,74.8
2021-01-03,001,1014,310.89
2021-02-12,001,1018,249.05
2021-02-27,001,1022,167.61
2021-02-05,001,1008,88.84
2021-02-22,001,1010,66.17
2021-02-23,001,1002,146.92
2021-02-19,001,1016,51.51
2021-02-06,001,1010,103.44
2021-02-19,001,1021,127.6
2021-02-07,001,1008,227.36
2021-02-13,001,1019,206.27
2021-02-10,001,1015,278.8
2021-02-18,001,1008,171.92
2021-02-13,001,1009,95.91
2021-02-24,001,1000,117.13
2021-02-13,001,1024,287.23
2021-02-16,001,1013,281.28
2021-02-27,001,1010,216.11
2021-02-28,001,1008,44.74
2021-02-19,001,1016,347.12
2021-02-16,001,1002,355.33
2021-02-17,001,1003,80.69
2021-02-17,001,1004,191.73
2021-02-16,001,1012,31.13
2021-02-28,001,1013,307.72
2021-02-12,001,1005,143.0
2021-02-09,001,1000,258.89
2021-02-07,001,1005,217.7
2021-02-14,001,1014,334.11
2021-02-21,001,1021,97.99
2021-02-18,001,1016,446.97
2021-02-04,001,1018,282.63
2021-02-12,001,1000,92.67
2021-02-19,001,1007,124.04
2021-02-07,001,1004,430.87
2021-02-17,001,1005,106.7
2021-02-18,001,1022,219.59
2021-02-17,001,1008,181.06
2021-02-23,001,1005,116.5
2021-02-13,001,1019,315.67
2021-02-02,001,1019,296.3
2021-02-05,001,1019,114.78
2021-02-08,001,1009,96.67
2021-02-01,001,1002,183.24
2021-02-01,001,1024,77.48
2021-02-07,001,1009,146.67
2021-02-13,001,1002,271.73
2021-02-16,001,1020,348.44
2021-02-20,001,1014,97.08
2021-02-04,001,1007,275.13
2021-02-25,001,1011,124.91
2021-02-22,001,1008,80.99
2021-02-03,001,1011,220.35
2021-02-10,001,1015,259.83
2021-02-18,001,1005,334.43
2021-02-02,001,1021,196.27
2021-02-20,001,1009,30.24
2021-02-17,001,1016,145.1
2021-02-04,001,1000,307.71
2021-02-18,001,1022,29.46
2021-02-15,001,1019,25.54
2021-02-21,001,1016,406.85
2021-02-06,001,1023,53.25
2021-02-02,001,1002,230.49
2021-02-18,001,1016,80.72
2021-03-03,001,1020,318.51
2021-03-23,001,1006,154.8
2021-03-16,001,1016,131.01
2021-03-23,001,1010,217.18
2021-03-07,001,1014,109.45
2021-03-23,001,1010,289.66
2021-03-12,001,1002,315.93
2021-03-20,001,1000,319.55
2021-03-22,001,1020,242.98
2021-03-03,001,1003,207.72
2021-03-03,001,1012,157.63
2021-03-09,001,1011,312.97
2021-03-17,001,1019,212.66
2021-03-30,001,1000,165.82
2021-03-28,001,1004,216.52
2021-03-05,001,1010,67.11
2021-03-09,001,1022,187.13
2021-03-13,001,1019,226.22
2021-03-01,001,1021,46.41
2021-03-21,001,1017,174.17
2021-03-08,001,1003,155.64
2021-03-26,001,1002,26.76
2021-03-19,001,1021,142.22
2021-03-11,001,1019,287.51
2021-03-25,001,1009,266.54
2021-03-19,001,1005,286.68
2021-03-25,001,1006,33.18
2021-03-31,001,1018,66.55
2021-03-17,001,1009,24.13
2021-03-31,001,1005,133.41
2021-03-27,001,1008,160.61
2021-03-31,001,1008,323.11
2021-03-02,001,1019,49.64
2021-03-16,001,1012,235.63
2021-03-29,001,1024,227.65
2021-03-09,001,1012,135.5
2021-03-14,001,1002,248.09
2021-03-13,001,1017,102.74
2021-03-06,001,1000,96.81
2021-03-13,001,1006,235.26
2021-03-06,001,1023,155.85
2021-03-12,001,1005,168.71
2021-03-15,001,1009,110.41
2021-03-18,001,1000,32.65
2021-03-11,001,1017,114.26
2021-03-04,001,1002,360.7
2021-03-05,001,1012,295.82
2021-03-19,001,1018,121.81
2021-03-31,001,1000,182.31
2021-03-17,001,1004,27.92
2021-03-20,001,1005,27.77
2021-03-09,001,1013,94.84
2021-03-08,001,1011,83.46
2021-03-09,001,1018,130.26
2021-03-12,001,1018,24.49
2021-03-03,001,1021,436.6
2021-03-24,001,1019,193.28
2021-03-16,001,1017,332.18
2021-03-24,001,1001,192.52
2021-03-28,001,1002,151.13
2021-03-25,001,1015,414.35
2021-03-03,001,1000,206.03
2021-03-03,001,1018,316.75
2021-03-24,001,1000,48.95
2021-03-27,001,1022,33.26
2021-03-13,001,1010,154.32
2021-03-09,001,1002,133.54
2021-03-28,001,1023,136.03
2021-03-14,001,1019,110.85
2021-03-13,001,1021,148.31
2021-03-05,001,1018,282.63
2021-04-21,001,1021,355.05
2021-04-18,001,1012,70.3
2021-04-17,001,1007,321.54
2021-04-10,001,1004,296.85
2021-04-11,001,1014,227.59
2021-04-11,001,1006,256.57
2021-04-16,001,1001,118.4
2021-04-12,001,1009,409.33
2021-04-08,001,1013,138.98
2021-04-11,001,1022,152.59
2021-04-22,001,1023,369.2
2021-04-10,001,1012,223.39
2021-04-28,001,1023,69.76
2021-04-20,001,1002,123.62
2021-04-21,001,1003,146.69
2021-04-17,001,1000,118.25
2021-04-19,001,1005,34.65
2021-04-04,001,1009,211.86
2021-04-24,001,1017,329.24
2021-04-15,001,1015,126.15
2021-04-27,001,1010,102.9
2021-04-15,001,1022,104.72
2021-04-06,001,1008,118.05
2021-04-10,001,1006,144.1
2021-04-30,001,1006,159.53
2021-04-08,001,1018,238.9
2021-04-28,001,1017,38.65
2021-04-30,001,1020,365.07
2021-04-01,001,1003,186.75
2021-04-22,001,1000,218.03
2021-04-26,001,1005,254.41
2021-04-14,001,1010,366.92
2021-04-02,001,1015,192.79
2021-04-05,001,1016,242.42
2021-04-01,001,1004,151.3
2021-04-10,001,1011,60.33
2021-04-22,001,1021,82.68
2021-04-06,001,1009,283.78
2021-04-07,001,1007,102.5
2021-04-03,001,1003,27.44
2021-04-29,001,1024,394.44
2021-04-07,001,1020,187.5
2021-04-03,001,1016,199.51
2021-04-09,001,1014,406.85
2021-04-25,001,1013,136.26
2021-04-23,001,1021,105.67
2021-04-04,001,1021,228.96
2021-04-26,001,1011,41.07
2021-04-23,001,1006,134.55
2021-04-10,001,1012,92.21
2021-04-13,001,1020,214.98
2021-04-10,001,1007,66.34
2021-04-03,001,1020,311.77
2021-04-17,001,1014,37.76
2021-05-03,001,1010,132.59
2021-05-23,001,1003,370.78
2021-05-03,001,1007,22.44
2021-05-03,001,1007,104.62
2021-05-27,001,1017,301.62
2021-05-14,001,1019,320.03
2021-05-16,001,1002,36.95
2021-05-26,001,1019,275.41
2021-05-28,001,1008,159.33
2021-05-09,001,1006,171.17
2021-05-17,001,1016,102.55
2021-05-10,001,1017,343.81
2021-05-05,001,1023,303.73
2021-05-05,001,1004,58.33
2021-05-08,001,1014,347.8
2021-05-02,001,1019,237.03
2021-05-02,001,1004,272.6
2021-05-19,001,1024,276.87
2021-05-01,001,1023,73.48
2021-05-08,001,1012,258.96
2021-05-18,001,1011,378.91
2021-05-24,001,1002,199.75
2021-05-08,001,1013,377.28
2021-05-11,001,1005,170.23
2021-05-31,001,1022,51.11
2021-05-16,001,1024,50.26
2021-05-17,001,1019,99.02
2021-05-04,001,1007,371.11
2021-05-04,001,1017,279.93
2021-05-03,001,1004,342.11
2021-05-24,001,1024,144.56
2021-05-19,001,1018,243.69
2021-05-30,001,1006,346.39
2021-05-14,001,1000,92.54
2021-05-05,001,1010,182.75
2021-05-15,001,1003,234.78
2021-05-13,001,1011,291.69
2021-05-21,001,1019,245.59
2021-05-25,001,1008,49.96
2021-05-19,001,1008,354.31
2021-05-17,001,1015,204.72
2021-05-03,001,1020,326.11
2021-05-23,001,1015,136.74
2021-05-19,001,1018,279.36
2021-05-27,001,1023,31.54
2021-05-12,001,1006,179.21
2021-05-06,001,1023,86.49
2021-05-16,001,1014,295.71
2021-05-11,001,1013,257.96
2021-05-24,001,1013,347.24
2021-05-19,001,1016,402.1
2021-05-02,001,1011,191.15
2021-05-17,001,1009,160.19
2021-05-26,001,1020,405.49
2021-05-22,001,1013,44.51
2021-05-09,001,1009,220.88
2021-05-30,001,1006,143.05
2021-05-15,001,1013,115.66
2021-05-03,001,1014,101.72
2021-05-05,001,1009,79.05
2021-05-07,001,1005,282.44
2021-05-12,001,1018,400.63
2021-05-05,001,1016,256.04
2021-05-26,001,1007,214.11
2021-05-20,001,1003,253.64
2021-05-30,001,1005,23.32
2021-05-12,001,1014,163.68
2021-05-16,001,1012,196.9
2021-05-08,001,1004,74.76
2021-05-31,001,1013,212.81
2021-05-10,001,1005,327.37
2021-06-17,001,1021,25.11
2021-06-08,001,1018,31.28
2021-06-19,001,1003,287.43
2021-06-21,001,1002,130.86
2021-06-22,001,1022,302.87
2021-06-12,001,1016,239.85
2021-06-15,001,1010,223.79
2021-06-08,001,1007,276.43
2021-06-05,001,1005,31.87
2021-06-11,001,1019,70.79
2021-06-19,001,1012,119.76
2021-06-07,001,1004,179.93
2021-06-20,001,1005,214.05
2021-06-25,001,1010,288.28
2021-06-12,001,1017,419.54
2021-06-14,001,1015,252.74
2021-06-22,001,1018,25.8
2021-06-14,001,1006,108.63
2021-06-02,001,1014,378.36
2021-06-16,001,1015,267.88
2021-06-05,001,1004,102.24
2021-06-17,001,1004,392.54
2021-06-28,001,1008,117.7
2021-06-28,001,1015,173.81
2021-06-11,001,1004,109.26
2021-06-30,001,1018,226.6
2021-06-17,001,1024,199.04
2021-06-08,001,1009,105.64
2021-06-12,001,1008,303.35
2021-06-30,001,1005,299.7
2021-06-25,001,1014,312.73
2021-06-01,001,1024,384.45
2021-06-06,001,1017,339.81
2021-06-03,001,1020,335.13
2021-06-13,001,1020,50.43
